ShapePairs,Subject,Distractor,Target,meanRT
7,6,D.Incongruent,T.Incongruent,0.694571538668242
8,6,D.Incongruent,T.Incongruent,0.697431855020113
9,6,D.Incongruent,T.Incongruent,0.967446093371837
10,6,D.Incongruent,T.Incongruent,0.903969239233993
11,6,D.Incongruent,T.Incongruent,0.774313902354334
12,6,D.Incongruent,T.Incongruent,1.10605860112119
13,6,D.Incongruent,T.Incongruent,0.878207045356976
14,6,D.Incongruent,T.Incongruent,0.705817307191319
15,6,D.Incongruent,T.Incongruent,0.826520040436299
16,6,D.Incongruent,T.Incongruent,0.874124233608018
17,6,D.Incongruent,T.Incongruent,0.901469712826656
18,6,D.Incongruent,T.Incongruent,0.882095694448799
19,6,D.Incongruent,T.Incongruent,0.999006379765342
20,6,D.Incongruent,T.Incongruent,0.874746323921136
21,6,D.Incongruent,T.Incongruent,0.846073903961224
1,7,D.Incongruent,T.Incongruent,1.14184178816504
2,7,D.Incongruent,T.Incongruent,1.28644026108377
3,7,D.Incongruent,T.Incongruent,0.910178398000426
4,7,D.Incongruent,T.Incongruent,1.08247989974043
5,7,D.Incongruent,T.Incongruent,0.957377521740273
6,7,D.Incongruent,T.Incongruent,1.01825524257729
7,7,D.Incongruent,T.Incongruent,0.790087726191268
8,7,D.Incongruent,T.Incongruent,0.983426322723972
9,7,D.Incongruent,T.Incongruent,1.14412482156185
10,7,D.Incongruent,T.Incongruent,1.04039186915907
11,7,D.Incongruent,T.Incongruent,0.964946874877205
12,7,D.Incongruent,T.Incongruent,1.14946163020213
13,7,D.Incongruent,T.Incongruent,1.0848960722069
14,7,D.Incongruent,T.Incongruent,0.932676532963524
15,7,D.Incongruent,T.Incongruent,1.09071847446321
16,7,D.Incongruent,T.Incongruent,1.07281691073149
17,7,D.Incongruent,T.Incongruent,1.06033869124658
18,7,D.Incongruent,T.Incongruent,0.954863743772148
19,7,D.Incongruent,T.Incongruent,1.01221952895867
20,7,D.Incongruent,T.Incongruent,1.03859931188053
21,7,D.Incongruent,T.Incongruent,0.990499884742894
1,8,D.Incongruent,T.Incongruent,1.48691651495174
2,8,D.Incongruent,T.Incongruent,1.28031602513511
3,8,D.Incongruent,T.Incongruent,0.802414948167279
4,8,D.Incongruent,T.Incongruent,0.96185724347888
5,8,D.Incongruent,T.Incongruent,1.26435618342075
6,8,D.Incongruent,T.Incongruent,1.2041443265276
7,8,D.Incongruent,T.Incongruent,0.890891604361241
8,8,D.Incongruent,T.Incongruent,0.996818144104327
9,8,D.Incongruent,T.Incongruent,1.71441313095565
10,8,D.Incongruent,T.Incongruent,1.21810704555246
11,8,D.Incongruent,T.Incongruent,1.24819780239486
12,8,D.Incongruent,T.Incongruent,1.11607481447572
13,8,D.Incongruent,T.Incongruent,1.25433184728608
14,8,D.Incongruent,T.Incongruent,1.08788707906497
15,8,D.Incongruent,T.Incongruent,1.38228132378426
16,8,D.Incongruent,T.Incongruent,1.60470955726632
17,8,D.Incongruent,T.Incongruent,1.2510389627394
18,8,D.Incongruent,T.Incongruent,1.15562639950949
19,8,D.Incongruent,T.Incongruent,1.1781913349434
20,8,D.Incongruent,T.Incongruent,1.24558326656697
21,8,D.Incongruent,T.Incongruent,1.40812789794873
